"","type","ind","time","coefhat","tstat","iteration"
"1","mortality",147,147,138.936231796542,4.40971607419161,1
"2","mortality",216,216,110.741433184061,3.51918783960787,1
"3","mortality",218,218,-140.665871265514,-4.22475997872048,2
"4","mortality",218,218,-150.629308902702,-4.63011144070047,12
"5","mortality",218,218,-142.011773096919,-4.15130263161679,15
"6","mortality",115,115,-130.596192983186,-3.93213797151741,19
"7","mortality",147,147,116.096511426059,3.54677663046368,23
"8","mortality",147,147,115.925449997326,3.67805140847091,36
"9","mortality",218,218,-124.207675548375,-3.91498911930836,36
"10","mortality",225,225,97.3229989497699,3.59624057269555,36
"11","mortality",115,115,-134.955888365668,-4.01885528745291,37
"12","mortality",216,216,123.662873099463,3.89090406218688,44
"13","mortality",124,124,-95.4991281594182,-3.8626803715644,48
"14","mortality",218,218,-129.758902157085,-3.67232175721768,49
"15","mortality",147,147,123.521125449818,3.84039619388688,54
"16","mortality",146,146,-130.282765771558,-3.9906383599316,61
"17","mortality",216,216,120.925944146754,3.62155031234943,63
"18","mortality",190,190,109.393189122763,4.34480844595556,66
"19","mortality",218,218,-118.802874488275,-3.86848327857599,70
"20","mortality",216,216,121.930635464245,3.74917507145132,72
"21","mortality",218,218,-98.689605881051,-3.59515163117692,72
"22","mortality",62,62,-95.3645579130564,-3.51067650813923,74
"23","mortality",217,217,139.724783554071,4.09884618980565,74
"24","mortality",216,216,126.150072547019,3.84012205969659,75
"25","mortality",146,146,-120.046874954327,-3.63865884993447,80
"26","mortality",147,147,147.384508042639,4.38220345758739,82
"27","mortality",217,217,126.052283540948,3.85871786593401,86
"28","mortality",161,161,-92.9918150295185,-3.80272991759909,87
"29","mortality",218,218,-94.5130262845606,-3.73734411006454,87
"30","mortality",147,147,120.072864230368,3.83496930590327,89
"31","mortality",147,147,121.804380145631,3.80785821597315,92
"32","mortality",223,223,-121.424384744411,-3.64037129851256,97
"33","mortality",218,218,-109.392623465214,-3.84469448150729,107
"34","mortality",146,146,-119.046741434494,-3.74666475575184,108
"35","mortality",115,115,-130.16827741319,-4.44031563524606,116
"36","mortality",182,182,-96.8518517396666,-4.03315347528855,116
"37","mortality",218,218,-96.9950331998024,-3.920818838293,116
"38","mortality",218,218,-121.753854988473,-3.58520078997189,119
"39","mortality",147,147,125.7214402376,4.03974935820406,123
"40","mortality",221,221,-103.227101147052,-4.12609311347819,125
"41","mortality",221,221,-138.240169612668,-3.84577265660979,126
"42","mortality",218,218,-136.048933868258,-3.79028906143995,129
"43","mortality",146,146,-116.508713855181,-3.6342129299623,130
"44","mortality",189,189,54.5504630992774,4.35114334905328,138
"45","mortality",146,146,-114.853247486766,-3.66520695131709,146
"46","mortality",218,218,-116.049585977465,-4.35628484306995,146
"47","mortality",190,190,52.9888686358761,3.60348137250269,150
"48","mortality",146,146,-123.909947726764,-4.14713185082128,156
"49","mortality",115,115,-107.383791225866,-3.65131806352161,158
"50","mortality",191,191,55.7733453023563,4.6527473962977,158
"51","mortality",225,225,125.818750774603,4.0626158853952,164
"52","mortality",147,147,129.246531039632,3.90790066402666,166
"53","mortality",190,190,47.9113247022532,3.52018240479852,172
"54","mortality",191,191,98.0621312947124,3.54769292404737,184
"55","mortality",190,190,50.5435859190018,3.65706172884955,191
"56","mortality",182,182,-97.588419363986,-4.53771961479073,196
"57","mortality",147,147,120.856740859508,3.93071458227749,198
"58","mortality",147,147,118.264699131644,3.53601346492527,208
"59","mortality",182,182,-94.9877939306721,-3.50730886700399,208
"60","mortality",218,218,-123.751606521262,-3.68966028779341,208
"61","mortality",216,216,134.535131600467,4.01836327501566,211
"62","mortality",218,218,-103.129622876664,-3.84736098163225,222
"63","mortality",147,147,139.889122689944,4.31809345073489,225
"64","mortality",218,218,-125.681414154697,-3.94062413230668,227
"65","mortality",218,218,-127.44534862857,-3.7636525771796,228
"66","mortality",218,218,-104.73785186395,-3.50494386802835,232
"67","mortality",50,50,-139.005888656318,-4.37373843583094,235
"68","mortality",214,214,63.5548216610411,3.80147362049465,235
"69","mortality",218,218,-141.953478815022,-5.01831656721419,235
"70","mortality",225,225,127.189439406964,3.95328546841204,239
"71","mortality",218,218,-137.429845374259,-3.97485762247752,240
"72","mortality",218,218,-103.779477099635,-4.01196999289881,243
"73","mortality",212,212,-118.596742375017,-3.5386331411167,245
"74","mortality",217,217,118.951619102831,3.52557157079265,246
"75","mortality",147,147,119.693336765438,3.61297917784439,248
"76","mortality",216,216,125.542694428018,4.08278764599892,252
"77","mortality",156,156,122.246736114973,3.70539080400153,259
"78","mortality",217,217,129.696088986963,3.92187026846574,266
"79","mortality",182,182,-103.534586784031,-3.8705561118828,268
"80","mortality",197,197,122.795294092702,3.95923445467226,271
"81","mortality",214,214,118.661434672518,3.81602889093974,271
"82","mortality",216,216,114.745910512741,3.68958559064023,271
"83","mortality",216,216,119.00369318476,3.79344376336775,276
"84","mortality",97,97,121.804264957933,3.63354213514057,277
"85","mortality",147,147,121.084637552155,3.98419815886843,284
"86","mortality",147,147,137.815783920416,3.91967165009418,288
"87","mortality",146,146,-119.243806404217,-3.64855052173917,295
"88","mortality",164,164,-122.823202880924,-3.75803269006992,295
"89","mortality",166,166,93.8787688327233,4.22379349019972,297
"90","mortality",216,216,127.745579283465,4.13184453925492,297
